date,senti_0,senti_1,senti_2,senti_3,senti_4
1517328000,7,24,37,27,6
1517414400,7,26,33,27,7
1517500800,7,25,33,28,6
1517587200,13,27,25,26,9
1517673600,4,19,32,36,10
1517760000,8,25,33,27,6
1517846400,8,28,36,23,5
1517932800,8,27,31,27,8
1518019200,8,22,32,30,8
1518105600,8,27,34,25,6
1518192000,2,7,12,50,29
1518278400,9,31,32,24,5
1518364800,9,30,33,23,5
1518451200,7,24,35,28,6
1518537600,6,22,34,28,9
1518624000,4,17,41,29,8
1518710400,8,23,30,29,10
1518796800,5,24,31,29,10
1518883200,22,40,26,10,2
1518969600,1,8,44,37,9
1519056000,8,27,42,20,4
1519142400,4,17,47,26,6
1519228800,5,20,38,29,8
1519315200,8,22,38,26,6
1519401600,5,19,32,33,11
1519488000,6,21,38,30,6
1519574400,7,23,33,28,9
1519660800,8,25,35,25,6
1519747200,7,25,33,27,8
1519833600,8,26,30,29,8
1519920000,8,24,35,26,7
1520006400,5,24,48,21,2
1520092800,13,38,31,17,2
1520179200,6,22,36,27,9
1520265600,6,25,34,26,8
1520352000,7,25,34,26,8
1520438400,8,25,37,24,5
1520524800,6,24,35,28,7
1520611200,12,35,30,20,3
1520697600,7,24,37,28,4
1520784000,6,20,31,34,10
1520870400,9,25,33,26,7
1520956800,8,27,36,23,6
1521043200,7,27,34,24,7
1521129600,7,26,37,24,6
1521216000,5,19,21,36,18
1521302400,5,18,26,39,13
1521388800,7,22,33,29,9
1521475200,8,26,36,24,6
1521561600,8,24,34,27,7
1521648000,8,27,33,25,7
1521734400,8,20,31,32,9
1521820800,3,15,29,36,17
1521907200,4,22,42,28,3
1521993600,8,24,35,27,7
1522080000,8,29,33,25,6
1522166400,7,26,33,26,8
1522252800,5,21,37,29,8
1522339200,9,31,37,19,3
1522425600,9,22,27,32,10
1522512000,9,30,33,23,5
1522598400,8,27,36,23,6
1522684800,9,24,37,22,7
1522771200,10,28,34,23,5
1522857600,6,23,36,28,8
1522944000,8,23,32,29,9
1523030400,7,21,27,32,13
1523116800,9,33,36,19,3
1523203200,8,25,33,28,6
1523289600,9,24,30,28,9
1523376000,6,20,26,34,14
1523462400,6,22,31,32,9
1523548800,7,25,28,30,10
1523635200,10,31,34,22,3
1523721600,5,17,26,37,15
1523808000,8,28,32,26,6
1523894400,6,22,34,30,9
1523980800,6,23,34,30,7
1524067200,7,24,32,29,10
1524153600,7,25,39,24,6
1524240000,6,21,23,32,16
1524326400,3,15,52,26,4
1524412800,6,20,39,27,8
1524499200,7,23,28,31,11
1524585600,10,24,27,29,10
1524672000,7,24,35,27,7
1524758400,7,23,34,28,9
1524844800,5,22,43,23,7
1524931200,5,21,47,23,4
1525017600,4,17,31,35,12
1525104000,7,24,31,29,8
1525190400,8,28,31,26,6
1525276800,5,20,31,33,10
1525363200,8,24,30,29,10
1525449600,8,22,27,32,11
1525536000,10,27,39,21,4
1525622400,7,23,35,28,7
1525708800,6,21,33,31,9
1525795200,7,25,31,29,8
1525881600,8,25,32,28,8
1525968000,10,27,29,27,7
1526054400,6,21,24,34,13
1526140800,7,27,36,25,5
1526227200,8,26,29,29,8
1526313600,7,23,30,30,9
1526400000,7,23,34,27,8
1526486400,8,25,29,30,8
1526572800,9,28,34,23,6
1526659200,13,38,31,17,2
1526745600,12,20,19,32,17
1526832000,7,23,31,31,8
1526918400,9,28,32,26,6
1527004800,7,25,30,29,8
1527091200,8,26,33,27,6
1527177600,9,27,30,27,7
1527264000,13,37,31,17,2
1527350400,12,30,31,24,4
1527436800,8,28,34,24,5
1527523200,8,28,31,27,6
1527609600,8,25,34,26,6
