date,senti_0,senti_1,senti_2,senti_3,senti_4
1517673600,15,42,27,15,1
1517760000,8,30,33,24,5
1517846400,7,24,29,30,10
1517932800,9,21,28,32,10
1518019200,11,29,31,23,6
1518105600,5,19,32,33,10
1518192000,7,24,25,33,11
1518278400,10,33,39,17,1
1518364800,7,23,31,29,10
1518451200,9,26,33,27,6
1518537600,4,19,33,33,11
1518624000,8,30,35,22,4
1518710400,9,30,33,23,5
1518796800,2,10,20,42,26
1518883200,2,10,30,41,17
1518969600,6,25,42,22,4
1519056000,6,24,38,26,6
1519142400,6,22,41,25,6
1519228800,7,24,35,26,8
1519315200,9,24,28,30,8
1519401600,10,31,22,33,4
1519488000,8,23,23,34,13
1519574400,7,24,30,29,10
1519660800,8,20,32,28,11
1519747200,5,20,42,26,8
1519833600,5,21,39,27,7
1519920000,9,27,36,21,6
1520006400,5,22,43,25,5
1520092800,6,22,27,36,10
1520179200,10,27,32,25,6
1520265600,11,27,32,22,7
1520352000,7,24,28,31,11
1520438400,7,23,31,30,10
1520524800,9,26,31,27,7
1520611200,6,22,30,31,10
1520697600,10,30,27,26,7
1520784000,8,25,32,28,8
1520870400,6,22,34,29,9
1520956800,8,29,37,21,5
1521043200,9,29,37,22,4
1521129600,7,25,37,25,6
1521216000,2,17,44,33,6
1521302400,3,14,35,36,12
1521388800,6,20,37,31,7
1521475200,8,28,29,27,8
1521561600,10,27,34,23,6
1521648000,9,22,28,32,10
1521734400,7,22,36,28,7
1521820800,4,16,24,45,11
1521907200,8,25,19,42,5
1521993600,7,22,38,27,7
1522080000,7,23,26,34,10
1522166400,10,26,28,28,9
1522252800,7,26,35,26,7
1522339200,6,23,40,25,6
1522425600,7,22,30,32,10
1522512000,11,39,34,14,2
1522598400,13,32,32,19,4
1522684800,8,28,35,23,5
1522771200,10,30,32,22,5
1522857600,7,24,39,25,5
1522944000,11,26,26,28,10
1523030400,4,16,42,27,11
1523116800,8,26,30,31,5
1523203200,8,27,33,27,5
1523289600,5,21,31,33,10
1523376000,9,31,34,22,4
1523462400,8,27,29,28,8
1523548800,4,21,29,34,11
1523635200,5,22,41,26,5
1523721600,8,26,22,34,9
1523808000,6,23,34,29,8
1523894400,10,29,28,27,7
1523980800,8,26,31,27,7
1524067200,6,23,35,29,7
1524153600,7,21,41,24,7
1524240000,7,25,33,29,6
1524326400,3,17,54,22,4
1524412800,5,20,41,26,9
1524499200,6,22,33,31,8
1524585600,9,32,31,23,5
1524672000,8,26,34,26,6
1524758400,7,24,35,27,7
1524844800,5,19,38,32,6
1524931200,4,20,44,27,5
1525017600,6,23,32,28,10
1525104000,9,26,29,27,9
1525190400,11,30,28,24,7
1525276800,8,29,33,23,6
1525363200,14,31,31,19,5
1525449600,8,25,20,32,15
1525536000,12,34,27,23,4
1525622400,9,28,35,23,6
1525708800,8,27,32,26,7
1525795200,8,24,30,29,10
1525881600,5,21,34,30,10
1525968000,10,31,33,22,5
1526054400,3,18,38,33,8
1526227200,10,29,29,26,6
1526313600,7,25,34,28,6
1526400000,9,29,31,24,7
1526486400,7,25,32,28,8
1526572800,11,30,28,24,7
1526659200,5,19,29,35,12
1526745600,10,19,25,33,12
1526832000,6,23,36,28,7
1526918400,8,26,34,27,5
1527004800,11,32,30,22,5
1527091200,6,21,30,34,10
1527177600,12,26,30,25,7
1527264000,5,19,35,33,8
1527350400,1,9,26,48,15
1527436800,11,25,36,22,6
1527523200,13,34,26,21,6
1527609600,7,26,29,28,9
1527696000,13,33,27,21,5
1527782400,7,22,29,31,9
1527955200,5,20,35,32,8
1528041600,5,18,24,38,15
1528128000,6,22,28,32,13
1528214400,6,24,30,30,10
1528300800,6,21,28,33,11
1528387200,9,19,24,35,12
1528473600,4,15,28,38,15
1528560000,6,21,29,32,11
1528646400,6,22,31,31,9
1528732800,8,21,29,31,11
1528819200,4,17,23,40,16
1528905600,8,25,30,29,8
