date,senti_0,senti_1,senti_2,senti_3,senti_4
1519747200,6,25,34,27,9
1519833600,8,26,27,29,10
1519920000,4,16,26,39,14
1520006400,9,33,37,19,3
1520092800,10,30,22,27,11
1520179200,8,21,30,30,12
1520265600,9,29,29,25,7
1520352000,6,24,28,30,12
1520438400,6,22,38,27,7
1520524800,8,29,36,23,5
1520611200,15,42,27,15,1
1520784000,3,23,67,6,0
1520870400,8,27,42,20,4
1520956800,13,31,27,23,6
1521043200,8,28,36,22,5
1521129600,7,27,31,27,8
1521216000,14,40,29,16,1
1521388800,5,24,27,32,12
1521475200,6,21,28,31,13
1521561600,8,29,36,22,4
1521648000,8,30,41,18,3
1521734400,7,27,28,27,11
1521820800,2,13,26,41,18
1521907200,16,27,28,23,6
1521993600,5,19,28,35,14
1522080000,6,22,44,22,5
1522166400,6,22,29,32,11
1522252800,6,19,20,38,17
1522339200,9,28,35,23,5
1522512000,1,6,12,50,31
1522598400,9,17,33,29,11
1522684800,13,29,31,21,5
1522771200,7,25,44,21,3
1522857600,5,20,46,24,5
1522944000,9,35,40,14,1
1523030400,8,29,45,16,2
1523203200,6,20,22,31,21
1523289600,6,23,41,25,5
1523376000,18,38,24,15,5
1523462400,5,16,33,34,12
1523548800,7,24,34,27,8
1523635200,10,34,37,17,2
1523808000,8,26,37,24,5
1523894400,6,24,43,23,4
1523980800,6,23,38,25,8
1524067200,5,18,23,37,17
1524153600,9,36,37,15,2
1524412800,8,25,32,28,7
1524499200,7,24,29,30,10
1524585600,15,42,27,15,1
1524672000,4,18,32,36,10
1524758400,6,21,29,35,10
1524844800,10,47,34,8,0
1525017600,6,24,29,29,11
1525104000,9,24,32,26,9
1525190400,6,21,33,33,7
1525276800,9,28,28,28,8
1525363200,2,9,32,35,21
1525449600,5,20,35,32,8
1525536000,7,23,25,32,13
1525622400,6,23,32,30,10
1525708800,7,27,28,27,10
1525795200,11,39,35,14,1
1525881600,5,18,32,36,9
1525968000,9,24,31,28,8
1526054400,6,19,17,38,20
1526140800,5,20,35,32,8
1526227200,7,27,33,25,7
1526313600,7,24,34,29,7
1526400000,9,26,35,25,6
1526486400,9,28,35,23,5
1526572800,8,26,31,28,7
1526659200,0,6,68,25,1
1526832000,9,37,33,18,3
1526918400,11,28,26,26,9
1527004800,9,30,33,23,6
1527091200,8,27,34,26,6
1527177600,10,32,33,22,4
1527264000,2,11,28,43,16
1527436800,4,15,25,40,16
1527523200,8,32,37,20,4
1527609600,8,23,31,29,9
1527696000,6,22,36,27,9
1527782400,10,22,37,25,6
1527868800,10,30,22,27,10
1527955200,5,20,35,32,8
1528041600,4,17,28,36,14
1528128000,5,19,23,37,15
1528214400,2,9,19,48,21
1528300800,5,14,46,27,9
1528387200,7,23,26,33,11
1528560000,7,25,38,25,5
1528646400,5,21,44,25,4
1528732800,5,21,35,30,10
1528819200,11,23,20,34,13
1528905600,6,16,23,38,17
