,val_loss,val_mape,val_smape,val_mean_squared_error,loss,mape,smape,mean_squared_error
0,28011.875059185608,66298.3760061553,99.16196141098484,28011.875059185608,30683.21571514423,217891.75703125,99.5172105055589,30683.21571514423
1,27988.029829545456,20425.8525390625,98.9725790312796,27988.029829545456,30639.833774038463,75760.67854567307,99.56586655836838,30639.833774038463
2,27936.187736742424,45093.42069128788,99.1247891512784,27936.187736742424,30605.971814903845,244678.2842548077,99.51580071082482,30605.971814903845
3,27864.781723484848,59885.473958333336,98.96618444269353,27864.781723484848,30568.685877403845,92111.9030048077,99.5524888258714,30568.685877403845
4,27741.994199810608,26312.459517045456,98.57949736624053,27741.994199810608,30537.001502403848,68828.66177884616,99.40923250638522,30537.001502403848
5,27728.033439867424,28195.349254261364,98.54150182550603,27728.033439867424,30508.39462139423,101225.3530048077,99.371629685622,30508.39462139423
6,27703.957859848484,23085.643406723484,98.46953235973011,27703.957859848484,30483.411658653848,67318.88314302884,99.3238743708684,30483.411658653848
7,27770.890269886364,34380.39444247159,98.69736550071023,27770.890269886364,30450.76875,230234.90474759616,99.2493884746845,30450.76875
8,27730.029829545456,62113.297526041664,98.56106567382812,27730.029829545456,30437.189423076925,116012.73792067308,99.22115020751953,30437.189423076925
9,27792.73573626894,217117.1680279356,98.77833071621981,27792.73573626894,30395.371634615385,61384.271514423075,99.11680556077224,30395.371634615385
10,27733.209398674244,45701.09102746212,98.57717456239642,27733.209398674244,30374.339783653846,67264.72518028846,99.07640099158654,30374.339783653846
11,27751.015269886364,28961.337801846592,98.62914299242425,27751.015269886364,30349.204086538462,67206.65889423077,98.9991696871244,30349.204086538462
12,27682.076231060608,26320.080936316288,98.39174952651516,27682.076231060608,30328.668359375,117164.19753605769,98.92368633563702,30328.668359375
13,27710.484848484848,20088.349313446968,98.48567638975202,27710.484848484848,30313.038942307692,48099.04314903846,98.88972754845253,30313.038942307692
14,27713.179746685608,21384.192945075756,98.48842250939572,27713.179746685608,30293.17560096154,82150.98239182692,98.84414473313552,30293.17560096154
15,27700.415009469696,19634.83339251894,98.44752802993312,27700.415009469696,30276.527974759614,37549.064873798074,98.78757394643931,30276.527974759614
16,27711.858132102272,19460.558919270832,98.48545883641098,27711.858132102272,30257.9390625,40662.906640625,98.72453249417819,30257.9390625
17,27719.958037405304,20815.060102982956,98.50572181470466,27719.958037405304,30236.772445913462,27669.203485576923,98.66062715970553,30236.772445913462
18,27715.768525094696,19476.999644886364,98.48975834702,27715.768525094696,30221.312950721152,22590.047566105768,98.61193354679988,30221.312950721152
19,27704.684126420456,18836.68418560606,98.45102044307825,27704.684126420456,30205.51544471154,36647.89319411058,98.57168931227464,30205.51544471154
20,27652.232776988636,16247.895359848484,98.27445244066644,27652.232776988636,30184.100300480768,110320.47489483173,98.49266920823317,30184.100300480768
21,27656.823508522728,16116.871892755682,98.2851430719549,27656.823508522728,30171.637980769232,24825.85204326923,98.45521510197567,30171.637980769232
22,27652.98964251894,14441.378847064394,98.26871236165364,27652.98964251894,30156.340805288462,21293.196063701922,98.4062237079327,30156.340805288462
23,27645.342743844696,13624.709457859848,98.23916441021544,27645.342743844696,30133.572415865383,21510.398557692308,98.33280839186449,30133.572415865383
24,27626.815932765152,12555.421608664772,98.17240743926077,27626.815932765152,30127.97292668269,18436.301472355768,98.31673795259915,30127.97292668269
25,27620.522372159092,12103.497011126894,98.149238355232,27620.522372159092,30101.473798076924,13809.922055288462,98.22796208308293,30101.473798076924
26,27616.892518939392,11943.146454782196,98.13486411354758,27616.892518939392,30090.884314903848,16819.074759615385,98.19740107609675,30090.884314903848
27,27594.895596590908,11310.619258996212,98.05666328198981,27594.895596590908,30069.75330528846,14517.780108173078,98.13129612849309,30069.75330528846
28,27593.851621685608,11249.672733191288,98.05557227857184,27593.851621685608,30060.569951923077,12878.421514423077,98.0954812856821,30060.569951923077
29,27589.167672821968,11044.875917376894,98.03863548510003,27589.167672821968,30032.809375,11987.967052283653,98.00948016826923,30032.809375
30,27577.550544507576,10710.499822443182,97.99823668508819,27577.550544507576,30026.056971153845,12003.437364783655,97.98540344238282,30026.056971153845
31,27542.006806344696,10033.058919270834,97.86986703583689,27542.006806344696,30002.099639423075,10902.586418269231,97.90914189265324,30002.099639423075
32,27541.690400094696,9955.386097301136,97.86690058852687,27541.690400094696,29991.41887019231,10998.668419471154,97.87980581430288,29991.41887019231
33,27528.49337121212,9621.87753018466,97.8150741114761,27528.49337121212,29966.54278846154,10861.15547626202,97.79768958458534,29966.54278846154
34,27516.555338541668,9407.251316879734,97.77341276226622,27516.555338541668,29943.610997596155,9482.507572115384,97.71686624380258,29943.610997596155
35,27503.611328125,9220.169596354166,97.7213028416489,27503.611328125,29935.676802884616,9906.621724759616,97.70392643855168,29935.676802884616
36,27492.923473011364,9023.643924597538,97.68367582378966,27492.923473011364,29924.73094951923,10468.484615384616,97.66973724365235,29924.73094951923
37,27469.255977746212,8662.904607599432,97.60321044921875,27469.255977746212,29901.714182692307,9565.974173677885,97.59688814603365,29901.714182692307
38,27448.279356060608,8391.951423413826,97.53077350963245,27448.279356060608,29874.917998798075,8753.89522235577,97.49636770395132,29874.917998798075
39,27444.811612215908,8383.75870028409,97.51001022801255,27444.811612215908,29857.028365384616,8416.362109375,97.4475088266226,29857.028365384616
40,27424.48378314394,8146.04169625947,97.43596556692412,27424.48378314394,29835.472536057692,10618.801652644232,97.37633197490986,29835.472536057692
41,27411.068418560608,7974.620265151515,97.38471291281961,27411.068418560608,29820.174579326922,8491.704484675482,97.32837547889123,29820.174579326922
42,27390.069957386364,7705.592122395833,97.31168874104817,27390.069957386364,29799.547626201922,14944.859239783655,97.270680471567,29799.547626201922
43,27377.549952651516,7526.771513967803,97.26825922185725,27377.549952651516,29769.21141826923,22046.25919471154,97.1789330115685,29769.21141826923
44,27370.35564630682,7448.489198626894,97.24238285873875,27370.35564630682,29757.404927884614,7924.807474459135,97.14198866624099,29757.404927884614
45,27369.943359375,7466.268895004735,97.24095731793028,27369.943359375,29749.441526442308,7841.926216947116,97.1153584406926,29749.441526442308
46,27335.970821496212,7108.042228929924,97.12295416629675,27335.970821496212,29710.476923076923,7216.876682692307,96.99628554124098,29710.476923076923
47,27317.190163352272,6918.600674715909,97.05724589029948,27317.190163352272,29703.463431490385,7144.245372596154,96.95823505108173,29703.463431490385
48,27312.431758996212,6867.886866714015,97.04083113236861,27312.431758996212,29691.086358173077,6922.229777644231,96.91508542574368,29691.086358173077
49,27179.03184185606,5869.260342684659,96.57242977257931,27179.03184185606,29663.512680288462,7207.853590745192,96.84898470365084,29663.512680288462
50,27159.625532670456,5731.48271780303,96.50346073959813,27159.625532670456,29638.18918269231,7184.802125901442,96.78165189302885,29638.18918269231
51,27132.600437973484,5537.858753551136,96.4120083433209,27132.600437973484,29638.01063701923,7114.23955078125,96.75335834209736,29638.01063701923
52,27106.505385890152,5390.114968039773,96.32851710464016,27106.505385890152,29603.350420673076,6869.936628605769,96.66373830942007,29603.350420673076
53,27114.24141808712,5417.033188328598,96.35634011933298,27114.24141808712,29576.356189903847,6867.477899639423,96.58145352877104,29576.356189903847
54,27117.770419034092,5447.40302438447,96.3646688750296,27117.770419034092,29560.822776442306,6305.899000901442,96.5306149996244,29560.822776442306
55,27118.527047821968,5479.379128196023,96.36303156072444,27118.527047821968,29537.817638221153,6296.178140024039,96.47524296687199,29537.817638221153
56,27115.098603219696,5497.976843631629,96.35030457467744,27115.098603219696,29527.778786057694,6469.898798076923,96.43031287560096,29527.778786057694
57,27118.35037878788,5524.543087121212,96.3600960933801,27118.35037878788,29500.42530048077,6046.223197115384,96.33354586087741,29500.42530048077
