Positive,Negative,Subjectivity,date
0.8181818181818182,0.6363636363636364,0.03523686044582446,1499011200.0
0.0,1.2222222222222223,0.05621355651722285,1499097600.0
0.0,2.0,0.056203569839738864,1499184000.0
0.4,2.2,0.07969171906182618,1499270400.0
0.8888888888888888,0.8888888888888888,0.10331733608534335,1499356800.0
0.3333333333333333,1.3333333333333333,0.11323763127370468,1499529600.0
0.4,0.6,0.053406626317420734,1499616000.0
0.6666666666666666,0.1111111111111111,0.027640206307907964,1499702400.0
1.2,0.2,0.07380951699263119,1499788800.0
0.36363636363636365,0.6363636363636364,0.0548109682381128,1499875200.0
2.0,0.0,0.15384614201183525,1499961600.0
0.3333333333333333,1.0,0.05128204930966476,1500048000.0
0.375,0.5,0.07516533656806909,1500220800.0
0.1111111111111111,1.5555555555555556,0.06095431864710795,1500307200.0
0.4,0.3,0.03188461376484393,1500393600.0
0.0,3.5,0.11129385592081227,1500480000.0
0.125,3.0,0.08008749914927074,1500566400.0
0.5,0.5,0.047149120553920496,1500739200.0
0.5,0.5,0.04616689448338283,1500825600.0
0.5,0.0,0.0199999992,1500912000.0
0.3333333333333333,0.16666666666666666,0.03202614173266704,1500998400.0
0.5,0.25,0.0233850193961804,1501084800.0
0.5714285714285714,0.42857142857142855,0.03846010978775273,1501171200.0
3.0,0.0,0.0652173898865784,1501257600.0
0.5,1.0,0.071428568027211,1501430400.0
0.4,0.6,0.02173912996219282,1501516800.0
0.5,0.5,0.02786377631099695,1501603200.0
0.4,0.8,0.035666744459713164,1501689600.0
0.75,0.75,0.027777777199074073,1501776000.0
1.0,0.0,0.035067452629807934,1502035200.0
0.875,0.375,0.04873172605611813,1502121600.0
0.9090909090909091,0.7272727272727273,0.092860143049339,1502208000.0
0.8571428571428571,1.0,0.11158927917345515,1502294400.0
0.8461538461538461,0.7692307692307693,0.07970469610778338,1502380800.0
0.0,0.3333333333333333,0.012345678555098315,1502467200.0
0.4,0.2,0.03545847038121897,1502640000.0
0.5652173913043478,0.782608695652174,0.04154116345958651,1502726400.0
0.45714285714285713,0.9428571428571428,0.06695845950542118,1502812800.0
0.29850746268656714,1.3582089552238805,0.07614358610683393,1502899200.0
0.4117647058823529,0.9705882352941176,0.08936256972963755,1502985600.0
0.6666666666666666,0.0,0.04374999634114616,1503072000.0
0.5,0.5,0.05263157617728545,1503158400.0
0.45454545454545453,0.9545454545454546,0.07222955915160129,1503244800.0
0.5,0.25,0.04179893900513723,1503331200.0
0.2727272727272727,0.45454545454545453,0.029242590693553037,1503417600.0
0.23076923076923078,0.5384615384615384,0.031024373029496514,1503504000.0
0.5,0.625,0.05373988473818837,1503590400.0
0.5,0.0,0.0499999950000005,1503676800.0
0.6666666666666666,0.0,0.035087717451523635,1503849600.0
0.7,0.3,0.04028879710379357,1503936000.0
0.36363636363636365,0.9090909090909091,0.05979900886256039,1504022400.0
1.125,0.75,0.0888253467301428,1504108800.0
0.5,0.5,0.04181887846466877,1504195200.0
0.5,0.0,0.023809522675737,1504281600.0
0.6666666666666666,0.0,0.029487178160749538,1504454400.0
