date,feature1,feature2,feature3,publication_date,negative,positive,close,change
1499011200,-33698302.08,39.9751153,-0.340039531,1499011200,-33698303,40,190.8,0.02
1499184000,-33641664.08,32.8271205,-3.931533952,1499184000,-33641665,33,190.75,-0.38
1499270400,-43039530.08,38.55592348,-5.112349299,1499270400,-43039531,39,191.49,0.25
1499356800,-49699396.08,38.04836738,-8.062232687,1499356800,-49699397,39,191.755,-0.11
1499616000,-30208080.08,11.94806633,-15.75518057,1499616000,-30208081,12,191.465,-0.42
1499702400,-24130640.08,-13.97703329,-19.9395953,1499702400,-24130641,-14,192.58,-0.13
1499788800,-35577000.08,-34.18243581,-20.34988019,1499788800,-35577001,-35,193.72,0.16
1499875200,-35139434.08,-44.58825091,-16.24720532,1499875200,-35139435,-45,193.645,0.36
1499961600,-24474324.08,-52.39132878,-11.11697794,1499961600,-24474325,-53,192.57,0.38
1500220800,-20721230.08,-54.48851437,-5.17196764,1500220800,-20721231,-55,191.035,0.81
1500307200,-18287992.08,-52.75086528,0.610803037,1500307200,-18287993,-53,188.555,-0.15
1500393600,-27791918.08,-56.26041872,3.196345249,1500393600,-27791919,-57,187.185,-0.1
1500480000,-37729354.08,-55.06225237,6.52254826,1500480000,-37729355,-56,187.7,-0.16
1500566400,-40188522.08,-47.63176912,10.76354333,1500566400,-40188523,-48,188.24,0.1
1500825600,-38748722.08,-48.20967191,11.60377706,1500825600,-38748723,-49,188.365,-0.05
1500912000,-33553818.08,-51.12471449,11.90545451,1500912000,-33553819,-52,188.255,0.29
1500998400,-49540360.08,-52.28686341,11.99462951,1500998400,-49540361,-53,187.76,-0.11
1501084800,-52855616.08,-36.8275773,16.63132456,1501084800,-52855617,-37,187.395,0.32
1501171200,-46741568.08,-3.095171407,23.96671833,1501171200,-46741569,-4,186.97,-0.16
1501430400,-48955084.08,26.49567433,25.69982707,1501430400,-48955085,27,186.65,-0.29
1501516800,-47184412.08,38.97429186,20.52564436,1501516800,-47184413,39,187.585,0.42
1501603200,-34382152.08,21.59848232,8.473367871,1501603200,-34382153,22,187.31,-0.41
1501689600,-31190736.08,0.586523329,-0.710160882,1501689600,-31190737,1,187.295,-0.11
1501776000,-26156612.08,-8.789492883,-3.165907135,1501776000,-26156613,-9,188.37,-0.17
1502035200,-11735578.08,-24.34108894,-5.409065053,1502035200,-11735579,-25,189.315,0.64
1502121600,-17737538.08,-39.5031791,-6.463145195,1502121600,-17737539,-40,188.7,0.31
1502208000,-16910562.08,-48.22267001,-4.249390257,1502208000,-16910563,-49,186.705,0.21
1502294400,21569801.92,-36.55470942,4.876389793,1502294400,21569802,-37,185.605,0.32
1502380800,77166881.92,-17.33942093,14.24820578,1502380800,77166882,-18,184.495,1.67
1502640000,60400395.92,-16.51506176,13.19595296,1502640000,60400396,-17,180.36,0.08
