date,feature1,feature2,feature3,senti_0,senti_1,senti_2,senti_3,senti_4,close,change
1513699200,-8764142.181,-10.67886879,-26.48763042,1200,2400,2300,2800,1300,38.54,-0.19
1513785600,-5015186.681,-8.725963689,-27.39262781,300,1100,2000,4400,2200,38.635,0.39
1513872000,-3361328.681,-10.53995106,-19.60650364,600,2200,3600,3000,700,38.52,-0.16
1514217600,-2035393.181,-11.41584946,-12.03464533,1500,3800,2800,1500,400,38.39,0.26
1514304000,11700827.82,-7.932479533,-0.301523655,1100,4700,3400,900,0,38.335,0.26
1514390400,9274296.819,-6.36863503,-2.450892955,800,2400,3600,2500,800,38.045,-0.22
1514476800,-4209805.681,-14.61036357,12.60880682,700,2400,2500,3100,1300,38.025,0.21
1514822400,-4249680.681,-12.3982693,18.85396804,700,2500,3600,2600,500,38.03,-0.04
1514908800,-5974657.681,-0.487094863,-10.78373129,600,2200,3200,3200,800,37.935,0.31
1514995200,-7281767.681,-0.138520498,-16.6744931,500,2100,2800,3100,1400,37.785,0.19
1515081600,-7110529.181,-2.017698505,-14.7312144,900,1900,2200,3400,1600,37.505,-0.01
1515340800,-5841791.681,2.259451263,-30.62425143,1200,2400,3700,2100,600,37.405,0.09
1515427200,-2743715.181,3.446335812,-40.60924931,300,1600,4000,3300,800,37.36,-0.37
1515513600,3672583.819,1.066279038,-37.07561488,800,2700,2500,2900,1100,37.515,0.11
1515600000,5488942.819,-0.518289987,-39.3573531,500,2000,4200,2600,600,37.66,0.27
1515686400,6156452.319,-0.911121942,-46.52829078,400,2200,4700,2200,500,37.45,-0.16
1516032000,11090310.82,-3.663132322,-41.28490417,300,1600,3000,3500,1600,37.39,-0.22
1516118400,11198879.32,-6.544833507,-38.33703741,600,2100,4100,2700,500,37.605,0.77
1516204800,3275697.319,-8.402992391,-46.72003454,700,3000,3900,2000,300,37.3,0.34
1516291200,-9129706.181,-12.93724098,-53.00831424,500,1800,3000,3400,1300,36.68,0.04
1516550400,-10987617.68,-13.62144288,-57.30184733,700,2200,3100,3000,900,36.47,-0.18
1516636800,-1992322.681,-11.21733686,-58.4003973,800,2700,3600,2400,500,36.55,0.13
1516723200,2843399.819,-13.12877293,-51.7793973,600,2200,2800,3400,1100,36.575,0.54
1516809600,4764191.819,-17.66106295,-36.59704198,400,1600,3600,3400,900,36.2,0.02
1516896000,21903802.82,-13.09939523,-25.02512411,500,1500,1800,4000,2200,35.89,1.58
1517155200,23324596.82,-8.969706835,-32.6358022,1000,3400,3200,2100,300,34.995,0.06
1517241600,1470331.319,-16.75166166,-35.26735814,700,2600,2100,3500,1000,34.075,0.08
1517328000,-5723676.681,-26.77722009,-6.465674441,1200,3100,3400,1800,300,33.995,-0.04
1517414400,-4798264.181,-28.59559599,19.38789625,600,2300,3100,3000,1000,33.97,-0.05
1517500800,-4626538.681,-26.70520662,39.39491696,500,2000,3700,3100,700,34.02,-0.4
1517760000,-7755551.681,-26.94355456,65.93430976,500,1900,3200,3200,1300,34.275,0.09
