mse,mape,smape
0.043101660907268524,41.35738754272461,33.38389587402344
0.06829165667295456,29.138648986816406,25.35027313232422
0.026071881875395775,33.824703216552734,28.805681228637695
0.0028210084419697523,8.342281341552734,7.979135036468506
0.019775260239839554,36.121707916259766,44.16484069824219
0.0013008387759327888,20015.880859375,197.1658935546875
0.039156004786491394,151.98529052734375,200.0
0.0012479579309001565,94.88861846923828,63.722450256347656
0.010473049245774746,220.98980712890625,200.0
0.0007560859667137265,27.509244918823242,32.20756530761719
