date,feature1,feature2,feature3,publication_date,negative,positive,close,change
1499011200,1341767.819,4.572259321,27.12469921,1499011200,1341768,5,44.01,0.62
1499184000,1523147.319,5.501361484,23.9876362,1499184000,1523148,6,44.35,0.06
1499270400,-1704651.181,0.327097374,39.16422363,1499270400,-1704652,1,44.315,0.23
1499356800,-6361787.181,-3.888935766,58.55020705,1499356800,-6361788,-4,43.815,0.19
1499616000,-5738030.681,1.538670663,57.89209017,1499616000,-5738031,2,43.585,-0.15
1499702400,-3411496.681,8.464227668,50.04915567,1499702400,-3411497,9,43.565,-0.55
1499788800,-3952580.181,13.76393827,36.82473715,1499788800,-3952581,14,43.955,0.53
1499875200,-5449221.181,17.24999582,21.1134602,1499875200,-5449222,18,43.965,0.08
1499961600,-5270466.181,20.43924017,1.935130457,1499961600,-5270467,21,43.625,-0.07
1500220800,-4458486.181,22.00419854,-18.06483538,1500220800,-4458487,23,43.62,0.86
1500307200,2217426.319,21.60654395,-29.65353168,1500307200,2217427,22,43.185,-0.13
1500393600,4290479.319,17.67312278,-37.37534761,1500393600,4290480,18,42.78,-0.11
1500480000,1169396.819,11.23713918,-42.1829559,1500480000,1169397,12,42.91,-0.26
1500566400,-2399010.181,4.420277029,-42.69235727,1500566400,-2399011,5,43.115,-0.28
1500825600,-5808965.181,-1.398446824,-41.50332604,1500825600,-5808966,-2,43.415,-0.1
1500912000,-3170577.681,-3.39655868,-40.8720936,1500912000,-3170578,-4,43.625,0.03
1500998400,-4168431.181,-10.05347087,-27.14828699,1500998400,-4168432,-11,43.665,-0.09
1501084800,-3594852.681,-18.2480991,2.510636624,1501084800,-3594853,-19,43.7,0.49
1501171200,442236.3187,-19.37718597,26.1845404,1501171200,442237,-20,43.48,-0.23
1501430400,13654457.32,-15.01363201,50.22212699,1501430400,13654458,-16,43.335,-1.54
1501516800,17053304.32,-8.416432703,56.99861884,1501516800,17053305,-9,44.31,-0.29
1501603200,5324900.319,-4.752431783,50.52896516,1501603200,5324901,-5,45.32,-0.2
1501689600,716899.8187,-1.811187952,50.88478819,1501689600,716900,-2,45.59,-0.21
1501776000,-2884120.181,4.331036722,39.09993579,1501776000,-2884121,5,45.815,-0.34
1502035200,-4668252.181,10.81127542,20.64410803,1502035200,-4668253,11,46.115,0.24
1502121600,-3224889.681,13.21291658,10.82396491,1502121600,-3224890,14,46.17,0.3
1502208000,-2316935.181,11.36551547,10.71980465,1502208000,-2316936,12,45.875,-0.02
1502294400,-3624870.681,2.362671888,33.81256643,1502294400,-3624871,3,45.72,0.39
1502380800,-4015450.681,-0.037731438,47.95432559,1502380800,-4015451,-1,45.515,0.78
1502640000,-1051540.681,11.78383615,22.83347103,1502640000,-1051541,12,44.87,0.53
