date,feature1,feature2,feature3,publication_date,negative,positive,close,change
1513008000,-29.26279391,-9.978576908,-2015420.027,1513008000,-30,-10,86.15,0.39
1513094400,-37.27451282,-7.72476075,-2413007.527,1513094400,-38,-8,85.745,-0.17
1513180800,-32.77952198,-2.897350029,-4722079.527,1513180800,-33,-3,85.63,0.01
1513267200,-44.97183745,-12.74036447,11214924.47,1513267200,-45,-13,85.715,0.3
1513526400,-49.37390506,-11.64148509,12703819.97,1513526400,-50,-12,85.555,-0.1
1513612800,-29.83122263,2.926040749,-2502130.027,1513612800,-30,3,85.455,0.01
1513699200,-12.76769649,5.683228707,-1806540.527,1513699200,-13,6,85.505,-0.02
1513785600,10.68723672,11.49252277,-4573561.527,1513785600,11,12,85.51,-0.3
1513872000,33.75061177,17.07313089,-9338106.527,1513872000,34,18,85.675,-0.52
1514217600,51.85534612,20.34711576,-13387860.53,1514217600,52,21,86.105,-0.45
1514304000,56.84968681,18.7069539,-13121768.53,1514304000,57,19,86.615,2.06
1514390400,56.00078842,16.28001709,-12770215.03,1514390400,57,17,85.77,-0.63
1514476800,57.86906155,13.70088681,-10750524.53,1514476800,58,14,85.02,-0.22
1514822400,39.0880578,4.85529457,-4805798.027,1514822400,40,5,85.465,0.33
1514908800,2.877400866,-4.839993129,-1133781.527,1514908800,3,-5,85.405,1.02
1514995200,-17.55175866,-6.570726654,-1419693.027,1514995200,-18,-7,84.695,1.59
1515081600,-28.88430555,-4.46988482,-2746857.527,1515081600,-29,-5,83.325,-0.28
1515340800,-39.96976893,-3.355772419,-2646320.027,1515340800,-40,-4,82.635,1.14
1515427200,-40.84295092,0.660339229,-4607716.527,1515427200,-41,1,82.185,0.49
1515513600,-32.19564082,5.366440339,-6338140.527,1515513600,-33,6,81.335,-3.03
1515600000,-24.66749897,8.215473217,-7175860.527,1515600000,-25,9,82.67,0.09
1515686400,-32.33276241,6.451763695,-4366195.527,1515686400,-33,7,84.215,0.79
1516032000,-29.25513208,3.72791237,5029233.973,1516032000,-30,4,83.755,-1.47
1516118400,-19.7058023,5.674093033,5704050.473,1516118400,-20,6,84.11,0.96
1516204800,-22.7954734,8.485930551,-515976.0271,1516204800,-23,9,84.375,0.58
1516291200,-27.92754861,4.719319396,5110948.473,1516291200,-28,5,83.565,0.14
1516550400,-36.37024416,3.540500331,4831884.473,1516550400,-37,4,83.185,-0.58
1516636800,-42.64294668,8.110476047,-1899201.527,1516636800,-43,9,83.415,1.14
1516723200,-41.24451687,8.168754564,2938762.473,1516723200,-42,9,83.125,0.12
1516809600,-34.31531684,9.736005269,4423960.973,1516809600,-35,10,82.465,-0.76
1516896000,-39.13285051,10.4727331,2371302.973,1516896000,-40,11,82.8,0.21
1517155200,-43.41745017,10.09060538,4964653.973,1517155200,-44,11,83.09,-0.62
1517241600,-28.60850775,10.56172005,9696096.973,1517241600,-29,11,83.515,0.11
1517328000,-30.53038239,3.979809931,18289295.97,1517328000,-31,4,83.99,0.06
1517414400,-39.09176758,0.296410463,22585710.47,1517414400,-40,1,83.9,-0.21
1517500800,-6.559542226,6.056294163,22141417.97,1517500800,-7,7,83.98,-0.45
1517760000,39.53373063,9.156045059,24043209.47,1517760000,40,10,84.325,0.28
1517846400,38.28212421,-5.212763926,34108614.97,1517846400,39,-6,84.415,-0.19
1517932800,26.92089786,-8.325421998,29146678.47,1517932800,27,-9,84.37,0.31
1518019200,44.22655725,-2.919112602,22961724.97,1518019200,45,-3,84.305,0.09
1518105600,45.89728326,-14.59370539,34157461.47,1518105600,46,-15,84.095,0.83
1518364800,40.00814256,-11.71295309,24203303.47,1518364800,41,-12,83.615,0
1518451200,39.24102291,-0.100961275,5657621.973,1518451200,40,-1,83.18,-0.67
1518537600,21.53283883,-2.928530305,5277907.473,1518537600,22,-3,83.535,0.08
1518624000,-7.50155636,-6.060557058,5985989.473,1518624000,-8,-7,83.85,4.79
1518710400,-28.20194232,-4.186535833,3803992.973,1518710400,-29,-5,81.285,0.12
1519056000,-40.07462676,-4.227222003,5347922.473,1519056000,-41,-5,78.695,-0.22
1519142400,-41.98381295,-0.527511025,3510714.473,1519142400,-42,-1,78.745,0.03
1519228800,-36.68554135,5.137911176,251228.4729,1519228800,-37,6,78.845,0.02
1519315200,-42.68166585,6.202397331,-45410.02711,1519315200,-43,7,78.82,0.85
1519574400,-55.20291167,5.696923966,2858136.473,1519574400,-56,6,78.36,0.28
1519660800,-51.59316715,10.20584677,2628082.973,1519660800,-52,11,77.76,0.02
1519747200,-33.36559557,14.99697357,3111828.973,1519747200,-34,15,77.6,-0.06
1519833600,-10.0813509,15.0686067,8745049.973,1519833600,-11,16,77.62,0.15
1519920000,11.20608302,15.21016224,9576575.473,1519920000,12,16,77.57,0.35
1520179200,20.01865144,18.08332062,2959583.973,1520179200,21,19,77.305,0.66
1520265600,23.04172842,21.27794191,-2367722.527,1520265600,24,22,76.77,0.12
1520352000,19.58619149,18.26264464,-960448.0271,1520352000,20,19,76.355,0
