date,feature1,feature2,feature3,senti_0,senti_1,senti_2,senti_3,senti_4,close,change
1509638400,-58.88019809,-9.239191721,13734106.87,900,2400,2900,2900,900,43.35,-2.25
1509897600,-53.39168768,-12.47626306,8450467.373,600,2300,3000,3100,1000,43.975,0.27
1509984000,-51.94022158,-13.709452,1032097.873,800,2700,3000,2600,800,45.055,0.63
1510070400,-48.55470842,-15.49317231,-5202508.127,700,2400,3400,2800,800,44.715,-1.49
1510156800,-38.79134879,-18.47609814,-4648014.627,900,2400,3200,2700,800,45.335,-1.37
1510243200,-13.09971635,-25.64262677,-3383217.127,800,2300,2700,3200,1000,46.9,-0.45
1510502400,20.66024587,-32.82301058,-6668895.127,700,2400,2600,3100,1200,47.895,-0.59
1510588800,41.32713485,-31.59556038,-7615987.127,800,2600,3600,2500,600,48.465,-1.08
1510675200,56.80604736,-27.60720905,-8536886.127,900,2200,3100,2900,900,49.385,-0.09
1510761600,66.31971367,-21.2170102,-6417768.127,600,2500,3200,2900,800,50.03,4.36
1510848000,72.29052269,-12.09200048,16902649.87,800,2300,2600,3100,1200,47.69,-0.19
1511107200,85.56362309,-8.810709307,14892948.37,600,2400,3700,2500,700,45.405,-0.5
1511193600,86.80182013,-3.390511925,-6070558.127,600,2200,3300,3000,1000,45.785,0.28
1511280000,83.43743015,3.508285925,-7511394.127,800,2700,3300,2500,700,45.905,0.85
1511452800,83.85744919,6.536141101,-15214000.13,600,2300,3000,3200,900,45.285,0.31
1511712000,82.08450481,10.02710256,-15882108.13,800,2700,3300,2600,600,44.65,0.08
1511798400,77.19578857,14.4707022,-9017984.627,800,2500,2900,2900,900,44.435,1.14
1511884800,75.89405097,16.41484161,-4600607.127,700,2400,2800,2900,1100,43.765,-0.09
1511971200,61.21862241,23.01120777,2375013.373,700,2200,2800,3200,1200,43.19,-0.15
1512057600,29.37384858,32.77512987,2184714.373,700,2300,3300,3000,700,43.325,0.83
1512316800,13.49454271,32.41475679,-887541.6271,1000,3000,3000,2400,600,42.955,-1.02
1512403200,27.59502768,21.04900849,1097747.373,700,2300,3000,3000,1000,43.06,-1.02
1512489600,46.14836894,11.48471596,952757.8729,1100,2600,3100,2500,800,44.18,0
1512576000,54.44637572,8.98447076,1993553.373,700,2500,3100,2800,900,44.74,0.28
1512662400,61.15951743,7.825686525,-284478.1271,600,2200,3400,2900,900,44.585,-0.76
1512921600,56.83260168,10.68459599,-6425748.627,800,2300,3300,2900,800,44.845,-1.45
1513008000,54.51978193,11.90730721,-9724424.127,800,2900,3600,2200,500,46.055,0.63
1513094400,57.63715877,11.04368918,-9237644.127,600,2300,3500,2800,800,46.505,-0.05
1513180800,60.22583449,10.89457207,-7693884.627,700,2500,3400,2600,700,46.19,0.1
1513267200,35.58914853,21.7890248,5344861.373,800,2500,3300,2700,700,46.165,0.03
1513526400,-10.04251152,36.9137223,20707066.37,1000,2800,2700,2700,800,46.095,-0.57
1513612800,-37.64904078,38.22032303,17679148.37,900,2900,3200,2400,500,46.39,-0.05
1513699200,-52.37726183,32.67663271,12961973.87,400,1900,3500,3100,900,46.73,-0.73
1513785600,-54.86916682,23.56915766,13733141.37,800,2400,2600,3100,1100,47.16,0.47
1513872000,-47.34926021,12.48135194,10222420.87,700,2500,3200,2900,700,47.3,0.71
1514217600,-34.48880518,1.272949646,-3492640.627,800,2800,3400,2400,500,46.65,1.55
1514304000,-21.25150705,-7.008223153,-13769573.63,900,2900,3500,2200,500,45.41,1.18
1514390400,-15.16416293,-9.795294269,-16784051.63,900,2900,3300,2300,600,43.91,-0.07
1514476800,-2.770502141,-13.38379325,-14766641.63,500,2000,2800,3400,1300,43.3,0.01
1514822400,8.810376888,-14.46600219,-7833432.127,600,2200,3400,3000,800,43.335,-0.3
1514908800,8.070519019,-5.345085144,41708815.37,900,2900,3300,2400,500,43.495,0.28
1514995200,14.26779203,-0.095836685,74627979.37,1000,2900,3200,2400,500,43.505,0.25
1515081600,24.7100519,-3.046761113,37300489.37,1000,2900,3100,2500,600,43.215,-0.34
1515340800,26.15517576,-2.370822914,9562814.373,900,2600,3400,2500,700,43.265,0.01
1515427200,33.79688274,-2.219424001,10791966.87,700,2400,3200,2900,800,43.445,-0.96
1515513600,56.01196753,-6.163165552,16792557.87,1000,2700,2800,2600,900,43.965,-0.17
1515600000,69.84789454,-5.713842859,12337161.87,900,2800,3500,2300,600,44.585,-0.15
1515686400,71.52095016,-0.846077095,4456462.873,800,2800,3400,2400,600,44.76,0.81
1516032000,72.21762209,3.953145383,5954293.873,400,1800,3600,3400,900,44.395,-0.71
1516118400,50.43600595,15.60350816,7151823.373,600,2200,3600,2800,800,44.34,0.22
1516204800,16.18807888,26.90086668,1381497.373,800,2500,3500,2600,600,44.61,-0.24
1516291200,-13.2628863,31.77517765,-1912700.127,600,2200,3400,3000,800,44.62,0.09
1516550400,-39.38926698,32.78254484,-1472583.627,700,2600,3200,2700,800,44.7,-0.26
1516636800,-53.96435455,27.68222297,-3295140.627,700,2400,3600,2500,700,44.795,0.29
1516723200,-55.75881702,18.74278778,-916411.1271,700,2300,3600,2700,700,44.78,-0.01
1516809600,-45.08898737,8.040668157,6395410.373,900,2500,3800,2300,500,44.625,-0.93
1516896000,-49.00865421,8.08963363,33621339.37,700,2400,3400,2700,800,45.14,0.17
1517155200,-56.57155366,8.118528709,38393986.37,800,2600,4200,2000,400,45.555,-0.36
1517241600,-43.25363865,-2.828103226,11343241.87,800,2600,4000,2100,500,45.66,0.1
1517328000,-26.06484566,-10.49490447,9001178.873,700,2000,3800,2800,700,45.805,0.15
1517414400,-7.307830255,-15.9611237,7014073.873,600,2400,3000,3000,1000,45.665,-0.66
1517500800,19.73111078,-22.49189415,535631.3729,600,2300,3000,3300,800,45.94,-0.36
1517760000,51.22325831,-26.01625687,10049961.87,800,3000,3300,2400,500,46.5,-0.07
1517846400,65.26628212,-19.63611451,24791137.87,700,2400,2900,3000,1000,46.74,0.07
