,val_loss,val_mape,val_smape,val_mean_squared_error,loss,mape,smape,mean_squared_error
0,28035.064689867424,125735.72964015152,99.6088164358428,28035.064689867424,30582.673497596155,117795.69326923077,99.65845959003155,30582.673497596155
1,27968.530894886364,44120.628314393936,99.38810128876658,27968.530894886364,30545.245733173077,131157.62572115383,99.64420236440806,30545.245733173077
2,27952.21756628788,37329.697443181816,99.32800131133108,27952.21756628788,30515.41201923077,89727.7915264423,99.55729346642127,30515.41201923077
3,27949.198153409092,35073.550189393936,99.31396877404416,27949.198153409092,30494.25450721154,62364.053846153845,99.48765423114483,30494.25450721154
4,27910.929746685608,28761.20525568182,99.18114656390566,27910.929746685608,30471.698677884615,47018.47271634615,99.41265258789062,30471.698677884615
5,27902.756569602272,32463.622159090908,99.15311246929747,27902.756569602272,30451.163401442307,65966.54074519231,99.35259505051833,30451.163401442307
6,27897.423354640152,28740.83143939394,99.1334219267874,27897.423354640152,30434.413401442307,35462.46322115385,99.29584843562199,30434.413401442307
7,27873.279651988636,23227.298295454544,99.04434620250355,27873.279651988636,30414.455889423076,43515.578966346155,99.23054504394531,30414.455889423076
8,27864.608072916668,22779.348129734848,99.01757858738755,27864.608072916668,30396.99014423077,41339.24212740385,99.17549062875601,30396.99014423077
9,27851.62890625,20356.828598484848,98.96648013953006,27851.62890625,30385.702283653845,26331.305528846155,99.13737933819111,30385.702283653845
10,27833.205196496212,18676.934067234848,98.90084191524622,27833.205196496212,30364.53828125,23269.71271033654,99.07335803692158,30364.53828125
11,27804.490885416668,16877.5,98.7960970329516,27804.490885416668,30344.92409855769,22568.63173076923,99.00939659705529,30344.92409855769
12,27772.576645359848,15346.484256628788,98.67956265536222,27772.576645359848,30329.60174278846,22802.867908653847,98.96551302396334,30329.60174278846
13,27772.839962121212,15658.978752367424,98.67779541015625,27772.839962121212,30314.0421875,20881.66033653846,98.91685286301833,30314.0421875
14,27738.537819602272,14367.663884943182,98.55654953465317,27738.537819602272,30296.25967548077,19599.69513221154,98.86121262770433,30296.25967548077
15,27721.609789299244,13773.962239583334,98.49812455610795,27721.609789299244,30279.770492788462,19363.648768028845,98.80792518028846,30279.770492788462
16,27723.642459753788,13817.278764204546,98.50323023940578,27723.642459753788,30258.82626201923,20168.516240985577,98.74004352276143,30258.82626201923
17,27689.741714015152,12657.208274147728,98.38192078561494,27689.741714015152,30243.73377403846,18622.10360576923,98.69267836350662,30243.73377403846
18,27627.738695549244,11235.360588304924,98.1613778779001,27627.738695549244,30233.473948317307,16593.264393028847,98.65367419903095,30233.473948317307
19,27619.622159090908,11113.589607007576,98.1301752726237,27619.622159090908,30211.538701923077,15432.90615985577,98.58366276667668,30211.538701923077
20,27618.23106060606,11333.199070785984,98.12192789713542,27618.23106060606,30190.207752403847,14724.813461538462,98.51343266413762,30190.207752403847
21,27589.907196969696,10629.217018821022,98.02182654178503,27589.907196969696,30169.968239182694,13844.396048677885,98.44924926757812,30169.968239182694
22,27579.491773200756,10399.82090435606,97.9834317294034,27579.491773200756,30156.46932091346,13540.402584134616,98.40677196796123,30156.46932091346
23,27569.317649147728,10020.753787878788,97.95167194713245,27569.317649147728,30137.540204326924,12712.463461538462,98.34184194711538,30137.540204326924
24,27605.165897253788,11995.663322679924,98.07286164254853,27605.165897253788,30117.097896634616,12268.170087139422,98.27660487248347,30117.097896634616
25,27564.028231534092,10625.527284564394,97.92583696769945,27564.028231534092,30091.60390625,11614.955348557693,98.19507904052735,30091.60390625
26,27547.400153882576,10373.48066110322,97.86393136689158,27547.400153882576,30084.073377403845,11590.382181490384,98.17000309870794,30084.073377403845
27,27511.197916666668,9909.692057291666,97.729824181759,27511.197916666668,30060.86766826923,11288.425420673077,98.09657217172476,30060.86766826923
28,27492.346590909092,9285.178784919508,97.66409463593455,27492.346590909092,30050.53016826923,11106.724293870193,98.0658433180589,30050.53016826923
29,27468.422111742424,8570.122514204546,97.57991675174597,27468.422111742424,30025.265865384616,10645.156280048077,97.99012110783504,30025.265865384616
30,27464.914180871212,8680.60381155303,97.56374289772727,27464.914180871212,30011.292548076923,10433.875555889423,97.94538163405198,30011.292548076923
31,27431.556758996212,9129.976843631628,97.43476913914536,27431.556758996212,29988.113942307693,10327.847671274038,97.87725642277644,29988.113942307693
32,27430.589902935608,9102.813624526516,97.43264400597775,27430.589902935608,29971.981009615385,10104.273031850962,97.82144399789664,29971.981009615385
33,27414.29705255682,9092.34707919034,97.37257801402698,27414.29705255682,29955.95402644231,10074.364573317307,97.76947314922626,29955.95402644231
34,27410.998461174244,8757.144057765152,97.36355660178445,27410.998461174244,29927.023407451925,9225.950345552885,97.68049645057091,29927.023407451925
35,27371.34688683712,8217.801905776516,97.22054383248994,27371.34688683712,29916.169080528845,9534.121709735577,97.65528470552884,29916.169080528845
36,27372.129853219696,8285.115737452652,97.22290316495028,27372.129853219696,29888.20841346154,9161.513882211539,97.56268122746394,29888.20841346154
37,27379.578361742424,8601.865559895834,97.24876727479877,27379.578361742424,29873.876111778845,8740.776502403845,97.51155043381911,29873.876111778845
38,27366.653172348484,8277.80234966856,97.20458175196792,27366.653172348484,29847.789302884616,8170.485621995193,97.42027071439303,29847.789302884616
39,27313.790601325756,7594.814704663826,97.01453353419448,27313.790601325756,29842.168028846154,8360.240594951923,97.41242300180288,29842.168028846154
40,27291.813210227272,7267.431670217803,96.93760935465495,27291.813210227272,29799.692608173078,7681.885193810096,97.27475726787861,29799.692608173078
41,27257.300307765152,6978.59062795928,96.81381040630919,27257.300307765152,29789.703665865385,7794.434825721154,97.24866673396184,29789.703665865385
42,27219.29433001894,6570.349579782197,96.68099305123994,27219.29433001894,29752.992427884616,7440.546439302884,97.12362776536207,29752.992427884616
43,27204.189808238636,6441.163803562973,96.63153584798177,27204.189808238636,29730.585516826923,7364.912229567308,97.0599139873798,29730.585516826923
44,27206.465909090908,6449.265514026989,96.64034641150272,27206.465909090908,29713.719140625,7131.894621394231,97.00431588979868,29713.719140625
45,27200.909150094696,6458.413248697917,96.62026260838364,27200.909150094696,29707.334495192306,7006.749083533654,96.98426161545973,29707.334495192306
46,27172.239583333332,6311.980032256155,96.51670213179155,27172.239583333332,29671.479266826922,6724.981993689904,96.8743407029372,29671.479266826922
47,27169.068122632576,6303.713016394413,96.50497737075344,27169.068122632576,29650.877493990385,6691.200045072115,96.80126295823317,29650.877493990385
48,27137.505622632576,5987.974594578598,96.39490925181995,27137.505622632576,29641.367217548075,6551.964250300481,96.76786193847656,29641.367217548075
49,27088.909090909092,5649.282700047348,96.22396896824692,27088.909090909092,29614.200390625,6508.876089242788,96.68790083665114,29614.200390625
50,27087.51834753788,5627.701504794034,96.21978990959398,27087.51834753788,29580.29206730769,6173.964813701923,96.58084834172176,29580.29206730769
51,27075.332386363636,5595.032204367898,96.17521158854167,27075.332386363636,29570.49501201923,6050.763852163462,96.54075364332932,29570.49501201923
52,27032.644472064392,5404.676942767519,96.02336120605469,27032.644472064392,29548.034615384615,6154.111380709134,96.4759995680589,29548.034615384615
53,27012.147135416668,5250.61738725142,95.9537959243312,27012.147135416668,29511.122716346155,6057.171852463943,96.36040285550631,29511.122716346155
54,27013.992128314392,5206.955322265625,95.96250268184778,27013.992128314392,29502.977884615386,6571.596799879808,96.32951801006611,29502.977884615386
