mse,mape,smape
0.029669923707842827,55.40191650390625,84.07634735107422
0.03690791502594948,73.73738098144531,120.36825561523438
0.00992203876376152,74.66883850097656,54.026954650878906
0.024218624457716942,125.59346008300781,76.90755462646484
0.00020120451517868787,37.89358139038086,49.98780059814453
0.0009119397727772593,97.24671173095703,164.84364318847656
9.863179730018601e-05,22.696788787841797,29.40647315979004
0.000136147893499583,38.567848205566406,31.027198791503906
0.0005785241955891252,47.05420684814453,38.03437423706055
0.0008595103863626719,63.077152252197266,47.90327072143555
