publication_date,negative,positive
1499011200,-0.5394915254237288,2.8351864406779663
1499097600,-1.0230555555555556,2.8641111111111113
1499184000,-0.5723333333333334,1.702188888888889
1499270400,-0.5616058394160584,1.677248175182482
1499356800,-0.5938167938931298,1.490618320610687
1499443200,-0.6257692307692307,1.7901538461538462
1499529600,-0.8154545454545455,2.287181818181818
1499616000,-0.6820987654320988,1.8396913580246916
1499702400,-0.5531967213114753,1.7541885245901638
1499788800,-0.615108695652174,1.7682608695652176
1499875200,-0.4137096774193548,1.589766129032258
1499961600,-0.580421052631579,1.6176736842105264
1500048000,-0.8328571428571427,1.3642857142857143
1500134400,-0.48058823529411765,1.887823529411765
1500220800,-0.5356666666666666,1.971188888888889
1500307200,-0.7057142857142857,1.5620714285714286
1500393600,-0.6592523364485982,2.294747663551402
1500480000,-0.8063513513513514,1.9179864864864866
1500566400,-0.811875,1.738
1500652800,-0.45423076923076927,1.2971153846153847
1500739200,-0.6970588235294117,1.881235294117647
1500825600,-0.7363218390804598,2.240045977011494
1500912000,-0.602,1.6663176470588235
1500998400,-0.6666292134831461,2.1516067415730338
1501084800,-0.5774193548387097,2.230774193548387
1501171200,-0.7633333333333333,1.998346153846154
1501257600,-0.5216666666666667,1.4236111111111112
1501344000,-1.11,1.6304545454545456
1501430400,-0.6545000000000001,1.6304166666666666
1501516800,-0.6383687943262412,1.6144964539007092
1501603200,-0.6944976076555024,2.038200956937799
1501689600,-0.8704081632653061,2.063581632653061
1501776000,-0.6765384615384615,2.060217948717949
1501862400,-0.5156000000000001,1.53668
1501948800,-0.4330769230769231,2.648307692307692
1502035200,-0.7462162162162163,2.1676216216216218
1502121600,-0.7033333333333333,2.2305862068965516
1502208000,-0.7101176470588235,1.893564705882353
1502294400,-0.9073611111111111,2.0691805555555556
1502380800,-0.7298076923076924,1.62375
1502467200,-0.3116666666666667,1.6875833333333334
1502553600,-0.5128571428571429,1.4882142857142857
1502640000,-0.7363529411764707,2.563894117647059
1502726400,-0.7738571428571429,2.0694142857142857
1502812800,-0.8446753246753246,2.327974025974026
1502899200,-0.8502439024390244,1.9978780487804877
1502985600,-0.8308955223880597,1.9904925373134328
1503072000,-0.46699999999999997,1.8324500000000001
1503158400,-0.3875,2.334625
1503244800,-0.5946666666666667,2.326783333333333
1503331200,-0.6038805970149254,2.388641791044776
1503417600,-0.6760215053763441,2.3043548387096773
1503504000,-0.7206382978723403,2.1216595744680853
1503590400,-0.6725,2.4122222222222223
1503676800,-0.392,1.3265333333333333
1503763200,-0.7575000000000001,1.54175
1503849600,-0.39806451612903226,2.008741935483871
1503936000,-0.5398979591836736,2.027561224489796
1504022400,-0.5164285714285715,2.508223214285714
1504108800,-0.5939805825242719,2.0988349514563107
1504195200,-0.7424719101123596,2.524325842696629
1504281600,-0.6966666666666667,2.8973333333333335
1504368000,-0.7488888888888889,2.705388888888889
1504454400,-0.6048275862068965,1.989206896551724
1504540800,-0.5485542168674699,2.130240963855422
1504627200,-0.5508860759493671,2.7211265822784814
1504713600,-0.6141975308641975,2.628148148148148
1504800000,-0.9875342465753425,2.819232876712329
1504886400,-0.579047619047619,2.245904761904762
1504972800,-0.3154545454545455,1.2553636363636365
1505059200,-0.4625581395348837,2.3485426356589145
1505145600,-0.44776,2.408312
1505232000,-0.5456465517241379,2.460844827586207
1505318400,-0.5333620689655173,2.2005
1505404800,-0.5577884615384615,2.265942307692308
1505491200,-0.4514814814814815,2.058925925925926
1505577600,-0.7446666666666667,2.4264333333333337
1505664000,-0.3964864864864865,2.1189459459459457
1505750400,-0.5431958762886597,2.1966907216494844
1505836800,-0.7448623853211009,2.2407706422018348
1505923200,-0.7342156862745098,2.3188823529411766
1506009600,-0.7239655172413794,2.2142672413793103
1506096000,-0.2826666666666667,1.6616666666666666
1506182400,-0.49875,1.952875
1506268800,-0.828252427184466,1.7593883495145632
1506355200,-0.6609473684210526,1.8440631578947368
1506441600,-0.5321153846153847,2.2972115384615384
1506528000,-0.7231914893617022,2.3692340425531913
1506614400,-0.4851351351351351,1.8414189189189192
1506700800,-0.3986363636363636,2.018409090909091
1506787200,-0.5782608695652174,2.256695652173913
1506873600,-0.7439285714285714,2.1586785714285712
1506960000,-0.5053333333333333,2.0159333333333334
1507046400,-0.7611111111111111,2.586632478632479
1507132800,-0.6689473684210526,2.459157894736842
1507219200,-0.7071212121212122,2.621272727272727
1507305600,-0.4247619047619048,1.9074285714285713
1507392000,-0.6527777777777778,1.8635555555555559
1507478400,-0.884225352112676,2.670042253521127
1507564800,-0.8297701149425287,2.3929080459770113
1507651200,-0.8244594594594594,2.2041486486486486
1507737600,-0.8165079365079365,2.6875555555555555
1507824000,-0.870625,2.391359375
1507910400,-0.4280952380952381,2.524571428571429
1507996800,-0.6938888888888889,1.8002777777777779
1508083200,-0.8640625000000001,2.5516979166666665
1508169600,-0.7855384615384615,2.4925384615384614
1508256000,-0.8472857142857143,2.8546714285714287
1508342400,-1.0934108527131783,2.5180077519379847
1508428800,-0.5893506493506494,1.9993376623376624
1508515200,-0.30782608695652175,1.5251739130434783
1508601600,-0.7015384615384614,1.7705384615384614
1508688000,-0.7984210526315789,2.532526315789474
1508774400,-0.6812,2.12956
1508860800,-0.808780487804878,2.141878048780488
1508947200,-0.7858333333333333,1.9250166666666668
1509033600,-0.8027678571428571,2.235544642857143
1509120000,-0.8013636363636363,1.957
1509206400,-1.17125,1.770375
1509292800,-0.7725,2.60922
1509379200,-0.8604545454545455,2.1196818181818182
1509465600,-0.8926666666666667,2.267447619047619
