publication_date,negative,positive
1499011200,-0.6036363636363636,3.5873636363636368
1499097600,-0.37555555555555553,1.157111111111111
1499184000,-1.4220000000000002,3.0874
1499270400,-1.6219999999999999,3.3212
1499356800,-0.6722222222222222,2.071111111111111
1499529600,-1.4033333333333333,2.4596666666666667
1499616000,-0.7,1.8242
1499702400,-0.6822222222222223,2.7766666666666664
1499788800,-1.09,1.8576000000000001
1499875200,-0.8390909090909091,1.877727272727273
1499961600,0.0,1.7925
1500048000,-0.9033333333333334,1.9516666666666669
1500220800,-0.6587500000000001,2.555875
1500307200,-1.278888888888889,1.9771111111111113
1500393600,-0.764,3.3670999999999998
1500480000,-0.8925000000000001,2.32225
1500566400,-1.3775000000000002,2.961875
1500739200,-0.32,4.313000000000001
1500825600,-0.42374999999999996,1.977875
1500912000,-0.155,3.4050000000000002
1500998400,-0.21333333333333335,1.7561666666666664
1501084800,-0.5237499999999999,1.7742499999999999
1501171200,-0.42857142857142855,3.2484285714285717
1501257600,0.0,0.0
1501430400,-0.225,3.3070000000000004
1501516800,-0.76,2.1162
1501603200,-0.54,2.21625
1501689600,-0.47400000000000003,1.389
1501776000,-1.395,4.30975
1502035200,-0.7266666666666667,2.5403333333333333
1502121600,-0.8300000000000001,3.898125
1502208000,-0.5027272727272728,1.7073636363636362
1502294400,-0.9228571428571428,1.586
1502380800,-0.9553846153846154,2.6144615384615384
1502467200,-1.1066666666666667,1.9603333333333335
1502640000,-1.133,1.383
1502726400,-1.046086956521739,2.529913043478261
1502812800,-1.0291428571428571,2.1123714285714286
1502899200,-1.1543283582089552,1.835955223880597
1502985600,-0.9317647058823529,1.7240882352941176
1503072000,-0.27,2.0813333333333333
1503158400,-0.47,4.851
1503244800,-0.5872727272727273,2.1540454545454546
1503331200,-0.5299999999999999,2.2124166666666665
1503417600,-0.8190909090909091,2.123727272727273
1503504000,-0.6530769230769231,2.8430000000000004
1503590400,-0.9375,2.583
1503676800,-0.32,2.8695
1503849600,-0.27,2.3743333333333334
1503936000,-0.37300000000000005,3.0477
1504022400,-0.7772727272727273,3.4735454545454547
1504108800,-1.1775,4.357875
1504195200,-0.96875,2.7405
1504281600,-0.155,3.479000000000001
1504454400,-0.48,1.7156666666666667
1504540800,-0.17,3.5248333333333335
1504627200,-0.3972727272727273,2.608727272727273
1504713600,-0.3666666666666667,2.4235
1504800000,-0.5633333333333334,0.8186666666666667
1505059200,-0.66,1.9985714285714287
1505145600,-0.655,3.47375
1505232000,-0.8366666666666667,3.441666666666667
1505318400,-0.9875000000000002,2.1245
1505404800,-0.53,3.1193999999999997
1505577600,-1.5299999999999998,2.072
1505664000,-0.4337931034482759,1.893793103448276
1505750400,-0.708,3.5015
1505836800,-0.5583333333333333,3.1485833333333333
1505923200,-0.4436363636363636,2.285272727272727
1506009600,-0.5654545454545454,2.381090909090909
1506096000,-1.0466666666666669,1.5136666666666665
1506182400,-1.07,2.2723333333333335
1506268800,-0.782,2.4836
1506355200,-0.4227272727272728,3.0764545454545456
1506441600,-0.7366666666666667,4.336333333333333
1506528000,-0.9099999999999999,3.6008000000000004
1506614400,-0.5933333333333333,3.093888888888889
1506700800,0.0,3.185
1506873600,-0.6766666666666666,3.142555555555555
1506960000,-0.6033333333333333,2.5394444444444444
1507046400,-0.9040000000000001,3.3741
1507132800,-0.1875,2.476625
1507219200,-0.677,3.3573
1507305600,-0.84,1.579
1507392000,-1.28,5.303000000000001
1507478400,-0.33625000000000005,2.165875
1507564800,-1.1142857142857143,3.152
1507651200,-0.8833333333333333,2.4726666666666666
1507737600,-1.127,2.8122999999999996
1507824000,-0.09142857142857143,1.5532857142857142
1507910400,0.0,0.0
1508083200,-0.9500000000000001,2.4068571428571426
1508169600,-0.6783333333333333,2.4145833333333333
1508256000,-0.7315384615384615,3.5408461538461538
1508342400,-0.6,2.0
1508428800,-1.0623076923076924,3.3461538461538463
1508515200,0.0,0.0
1508601600,0.0,3.051
1508688000,-0.67225,3.7942750000000003
1508774400,-0.5352631578947369,2.0388947368421055
1508860800,-0.556875,2.632
1508947200,-0.6584615384615385,2.1346153846153846
1509033600,-0.3675,2.9405
1509206400,0.0,0.193
1509292800,-1.0459999999999998,2.2638
1509379200,-0.30625,1.8290000000000002
1509465600,-0.5640000000000001,2.3482
1509552000,-0.9325,3.3706249999999995
1509638400,-1.578,3.3128
1509724800,0.0,0.0
1509897600,-0.48500000000000004,3.783
1509984000,-0.754375,1.81275
1510070400,-0.4388888888888889,1.946777777777778
1510156800,-1.2176923076923076,1.215
