publication_date,negative,positive
1499011200,-0.8085714285714286,2.674285714285715
1499097600,-0.548888888888889,1.295111111111111
1499184000,-0.795,3.0465
1499270400,-0.7244444444444444,1.9765
1499356800,-0.856551724137931,1.9206206896551725
1499443200,-0.0425,3.425
1499616000,-0.5962162162162162,2.5160000000000005
1499702400,-0.7919354838709678,4.117612903225806
1499788800,-0.66,2.85716
1499875200,-0.748695652173913,2.699521739130435
1499961600,-0.9026666666666667,3.2466
1500048000,-1.325,1.968
1500134400,-0.40111111111111114,2.4227777777777777
1500220800,-0.6757142857142857,2.5224761904761905
1500307200,-0.8165000000000001,2.2609
1500393600,-0.629090909090909,2.0864545454545453
1500480000,-0.8013333333333333,2.2871333333333337
1500566400,-0.7348,2.16416
1500652800,-0.5833333333333334,2.918833333333333
1500739200,-0.9566666666666667,2.072
1500825600,-1.0066666666666666,2.4404166666666667
1500912000,-0.6839999999999999,2.5227
1500998400,-0.9311111111111112,2.5673611111111114
1501084800,-0.7640476190476191,2.0996190476190475
1501171200,-0.7014084507042253,1.6686197183098592
1501257600,-0.75,3.61875
1501344000,-0.3578571428571428,1.2872142857142859
1501430400,-0.6636666666666666,2.385666666666667
1501516800,-0.719,3.509133333333333
1501603200,-0.42826086956521736,2.744521739130435
1501689600,-0.3377777777777778,2.649
1501776000,-0.4527777777777778,1.9891111111111113
1501862400,-0.794,1.8350000000000002
1501948800,0.0,0.0
1502035200,-0.9914285714285714,2.5130714285714286
1502121600,-0.724871794871795,2.4521794871794875
1502208000,-0.43894736842105264,1.5995263157894737
1502294400,-0.7599999999999999,1.4391666666666667
1502380800,-0.8956521739130435,3.0001304347826085
1502467200,-0.65,1.9308
1502553600,-0.575,1.449
1502640000,-0.32923076923076927,1.8586923076923076
1502726400,-1.2023809523809523,1.4594761904761906
1502812800,-0.8883783783783783,2.093891891891892
1502899200,-1.074,2.8954999999999997
1502985600,-0.6976190476190476,2.6306190476190476
1503072000,-0.21333333333333335,2.2159999999999997
1503158400,-1.06,4.292333333333334
1503244800,-0.36541666666666667,2.545666666666667
1503331200,-0.8371428571428572,2.528809523809524
1503417600,-0.7847058823529411,2.776294117647059
1503504000,-0.9269999999999999,2.3832999999999998
1503590400,-0.99,3.015571428571429
1503676800,-0.8033333333333333,2.4886666666666666
1503763200,0.0,0.592
1503849600,-0.37000000000000005,3.0008125
1503936000,-0.34777777777777774,1.9605000000000001
1504022400,-0.7194444444444444,2.3606666666666665
1504108800,-0.5085,1.9343499999999998
1504195200,-1.058148148148148,2.7942222222222224
1504281600,-1.3219999999999998,4.6926000000000005
1504368000,-3.3099999999999996,5.8795
1504454400,-0.8925000000000001,1.3287499999999999
1504540800,-0.41,2.7289000000000003
1504627200,-0.9764516129032258,2.590193548387097
