date,feature1,feature2,feature3,Positive,Negative,Subjectivity,close,change
1508774400,4514709.819,12.51118807,-32.98385659,27,22,5,43.125,-0.67
1508860800,6074324.319,7.934239641,-32.81108403,69,19,5,43.685,-0.24
1508947200,11458482.32,1.680525009,-18.09075473,93,54,6,44.195,0.22
1509033600,33088779.32,4.219725355,-3.172567688,75,50,6,44.205,1.79
1509292800,35372939.82,1.302355008,7.68388834,40,120,8,43.085,0.77
1509379200,14738750.82,-7.081681247,11.82567831,63,13,4,41.66,0.57
1509465600,11926192.32,-2.751998419,2.240012837,110,30,8,40.915,0.96
1509552000,22078761.82,0.453600789,7.902287477,100,50,4,40.065,0.68
1509638400,24464427.32,-0.162817355,15.97157831,160,100,8,39.15,-1.41
1509897600,15157737.32,0.657468234,6.185431009,84,50,7,39.555,0.15
1509984000,21252483.82,2.593386867,9.373096683,75,38,6,40.255,1.25
1510070400,31106851.32,6.537866294,10.36045872,12,23,2,39.475,-1.93
1510156800,17133174.82,-0.857970774,16.58408693,16,24,4,39.855,-0.69
1510243200,4007642.319,-9.653895374,35.15454944,39,8,3,41.315,0.14
1510502400,8651587.819,-7.615870126,50.71091614,64,46,5,41.62,-0.64
1510588800,10074303.32,-2.753180176,54.87221167,75,25,5,41.895,-0.54
1510675200,3631191.319,2.825192418,43.43105749,55,60,5,42.55,0.26
1510761600,824425.8187,10.36495397,22.47981683,76,42,7,42.705,0.59
1510848000,-1384755.181,15.30102327,0.065952266,42,70,6,42.23,-0.24
1511107200,273147.3188,18.10253428,-19.36762864,68,65,7,42.035,0.06
1511193600,2661650.819,18.26549973,-35.68369476,59,17,3,42.135,0.4
1511280000,811102.8188,12.62394878,-41.73878373,0,200,11,41.88,0.33
1511452800,1109864.319,6.844382817,-41.71815474,20,100,5,41.475,-0.01
1511712000,-582609.1812,2.806085179,-45.88085191,100,50,6,41.295,0.09
1511798400,-660064.6812,0.744216446,-52.7583158,42,9,4,41.25,0.59
1511884800,5957333.319,-2.865744625,-45.49909712,67,20,5,40.87,-0.3
1511971200,5629025.819,-9.986454766,-30.40747008,13,38,4,40.705,0.69
1512057600,49331.81877,-13.29268568,-26.25713463,67,84,10,40.485,0.17
1512316800,-2099414.181,-12.170074,-29.55551133,69,63,7,40.005,0.2
1512403200,-2217307.681,-13.9124562,-22.06548015,34,34,3,39.8,-0.22
1512489600,-3662835.681,-16.22030264,-11.17995016,40,47,4,39.815,0.37
1512576000,-2093654.681,-14.87680329,-4.443566983,50,25,4,39.735,0.49
1512662400,-18959.18125,-11.88741336,-1.976211808,0,67,10,39.26,0.1
1512921600,2454974.319,-4.865593329,-14.48802868,34,45,5,39.08,0.28
1513008000,2157123.819,-0.495274591,-29.95855705,50,75,6,39.015,0.5
1513094400,-6319075.181,-3.040353695,-39.7495059,0,67,3,38.58,-0.26
1513180800,-11983031.18,-8.962106964,-35.12122658,50,34,8,38.445,0.03
1513267200,-13003324.68,-11.48905056,-30.61448596,43,29,7,38.575,0.07
1513526400,-13314156.18,-10.66721986,-33.70985117,29,43,5,38.52,-0.06
1513612800,-12864862.18,-12.96721977,-26.43686869,20,100,6,38.515,0.02
1513699200,-8764142.181,-10.67886879,-26.48763042,60,40,5,38.54,-0.19
1513785600,-5015186.681,-8.725963689,-27.39262781,34,0,2,38.635,0.39
1513872000,-3361328.681,-10.53995106,-19.60650364,25,0,1,38.52,-0.16
1514217600,-2035393.181,-11.41584946,-12.03464533,60,60,8,38.39,0.26
1514304000,11700827.82,-7.932479533,-0.301523655,0,0,0,38.335,0.26
1514390400,9274296.819,-6.36863503,-2.450892955,78,45,6,38.045,-0.22
1514476800,-4209805.681,-14.61036357,12.60880682,86,58,7,38.025,0.21
1514822400,-4249680.681,-12.3982693,18.85396804,45,34,4,38.03,-0.04
1514908800,-5974657.681,-0.487094863,-10.78373129,25,13,2,37.935,0.31
1514995200,-7281767.681,-0.138520498,-16.6744931,50,80,8,37.785,0.19
1515081600,-7110529.181,-2.017698505,-14.7312144,95,74,9,37.505,-0.01
1515340800,-5841791.681,2.259451263,-30.62425143,100,113,9,37.405,0.09
1515427200,-2743715.181,3.446335812,-40.60924931,50,17,3,37.36,-0.37
1515513600,3672583.819,1.066279038,-37.07561488,82,163,10,37.515,0.11
1515600000,5488942.819,-0.518289987,-39.3573531,43,58,5,37.66,0.27
1515686400,6156452.319,-0.911121942,-46.52829078,63,25,5,37.45,-0.16
1516032000,11090310.82,-3.663132322,-41.28490417,55,19,3,37.39,-0.22
1516118400,11198879.32,-6.544833507,-38.33703741,12,53,3,37.605,0.77
1516204800,3275697.319,-8.402992391,-46.72003454,0,0,0,37.3,0.34
1516291200,-9129706.181,-12.93724098,-53.00831424,50,67,6,36.68,0.04
1516550400,-10987617.68,-13.62144288,-57.30184733,30,120,7,36.47,-0.18
1516636800,-1992322.681,-11.21733686,-58.4003973,67,74,8,36.55,0.13
1516723200,2843399.819,-13.12877293,-51.7793973,59,42,5,36.575,0.54
1516809600,4764191.819,-17.66106295,-36.59704198,132,107,11,36.2,0.02
1516896000,21903802.82,-13.09939523,-25.02512411,67,267,8,35.89,1.58
1517155200,23324596.82,-8.969706835,-32.6358022,34,78,5,34.995,0.06
1517241600,1470331.319,-16.75166166,-35.26735814,100,25,7,34.075,0.08
1517328000,-5723676.681,-26.77722009,-6.465674441,15,85,5,33.995,-0.04
1517414400,-4798264.181,-28.59559599,19.38789625,60,34,4,33.97,-0.05
1517500800,-4626538.681,-26.70520662,39.39491696,30,40,3,34.02,-0.4
1517760000,-7755551.681,-26.94355456,65.93430976,13,63,3,34.275,0.09
1517846400,-10481576.68,-16.71191578,63.5298001,63,50,5,34.45,-0.01
1517932800,-10618785.18,-2.086318208,40.760849,55,28,5,34.405,-0.05
1518019200,-9578078.681,2.235832837,38.12965575,50,34,4,34.44,0.23
1518105600,-6057735.681,4.087802525,43.4149328,48,37,6,34.34,-0.37
1518364800,-1739285.181,11.781549,29.71607724,76,67,6,34.415,0.42
1518451200,-4685526.681,18.06761584,2.032829856,64,104,6,34.385,0.1
1518537600,-6538610.681,21.12230702,-25.01176373,61,43,6,34.095,-0.35
1518624000,-3327872.181,19.85723378,-39.62096887,75,46,7,34.235,0.14
1518710400,-5192364.181,13.57457209,-46.19546744,98,47,7,34.35,-0.03
1519056000,-6670217.181,7.124725432,-48.59305975,22,58,6,34.285,-0.25
1519142400,-5838191.181,0.179758147,-41.91955671,40,80,6,34.44,0.21
1519228800,-3222653.681,-5.546108448,-30.00005337,63,63,6,34.465,0.09
1519315200,817944.8188,-7.062452827,-23.15516868,100,100,7,34.3,0.45
1519574400,-3896482.681,-5.640964133,-35.04777136,85,50,6,34,0.18
1519660800,-11091535.68,-6.04274576,-48.32206886,75,55,6,33.65,-0.04
1519747200,-13041532.68,-11.44541504,-40.76678485,85,16,6,33.575,0.05
1519833600,-12772627.18,-19.99412343,-13.44078366,54,31,6,33.57,0.06
1519920000,-10634776.68,-23.43849305,12.22930571,100,15,5,33.505,0.19
1520179200,-6936504.681,-17.87087245,18.09906213,85,37,7,33.365,-0.29
1520265600,-7445226.681,-12.53369968,16.55815137,130,71,8,33.425,0.04
1520352000,-7392512.681,-9.977309925,20.85798318,156,12,7,33.57,-0.19
1520438400,-9308977.681,-8.053754741,23.82536951,150,59,9,33.655,0.01
1520524800,-10582166.18,-1.088709475,9.38049839,123,45,7,33.755,0.14
1520784000,-7683983.681,7.712599059,-14.91034167,0,0,0,33.67,0.13
1520870400,-8090213.681,7.074536333,-23.74482806,163,75,10,33.515,-0.11
1520956800,-8679189.181,2.731376916,-21.7836775,90,79,8,33.645,0.09
1521043200,-7727693.681,-0.06499873,-19.30196013,160,40,10,33.8,0.11
1521129600,-6999787.181,-4.273441168,-9.419162566,60,7,3,33.69,0.25
1521388800,-7865442.181,-11.51742786,14.5813423,40,20,6,33.49,-0.12
1521475200,-4077441.181,-14.75884077,42.56770562,150,100,11,33.415,-0.25
1521561600,1563955.819,-11.49403555,60.34363141,56,62,4,33.62,0.04
1521648000,6573072.319,-7.928483506,78.49967178,20,40,3,33.74,0.31
1521734400,7637167.819,-4.681479557,94.56910593,50,37,6,33.545,0.59
1521993600,1356971.819,5.083697734,79.91880066,170,77,10,33.035,0.09
1522080000,-3293125.681,12.11091832,65.32265316,63,71,7,32.65,0.1
1522166400,-6832266.681,9.526275446,76.03615308,63,32,7,32.545,-0.03
1522252800,-7654742.181,13.7365519,71.39565913,72,115,6,32.505,0.07
1522598400,535930.3187,19.5528706,68.78732595,25,50,3,32.48,0.22
1522684800,988271.8187,18.95979825,73.30728312,47,67,6,32.315,0.01
1522771200,-2228946.681,19.98416146,68.97266029,125,0,7,32.185,-0.2
1522857600,-1864578.181,23.11479937,60.09511555,155,37,8,32.295,0.19
1522944000,-1996738.681,22.33709335,59.40062721,58,29,5,32.3,0.63
1523203200,-3788577.181,19.38676659,64.3870881,117,42,7,31.835,-0.25
1523289600,-7633133.681,26.24482948,36.20904596,63,125,10,31.62,-0.1
1523376000,-6821707.181,34.2317463,-2.237749941,75,75,6,31.815,0.22
1523462400,2127906.819,35.32377187,-21.77820465,100,62,7,31.745,-0.6
1523548800,990041.8188,28.87214058,-33.95531182,50,100,6,31.96,0.08
1523808000,-1435348.681,20.46741153,-39.27424972,59,53,6,32.255,0.19
1523894400,2715727.319,16.36498928,-45.69197489,74,67,8,32.1,0.45
1523980800,-3003020.181,9.808840825,-55.04867129,42,59,3,31.735,-0.05
1524067200,-8017924.681,2.396823566,-58.13446415,58,29,2,31.51,0.09
1524153600,-6420127.181,-4.727331262,-48.73058872,34,23,2,31.49,0.18
1524412800,-1611542.681,-9.751135167,-34.36403779,167,234,14,31.34,0.28
1524499200,-172378.1812,-14.90036108,-16.29600708,80,70,7,31.08,-0.31
1524585600,913199.8187,-18.71048081,5.279061124,0,100,8,31.095,0.52
1524672000,1794110.319,-15.15983144,9.566823757,17,17,1,30.975,0.27
1524758400,6821583.819,-6.975458661,1.806415555,90,80,7,30.525,-0.59
1525017600,21366768.82,-0.822159679,5.862367825,63,38,3,30.705,-1.15
1525104000,18491655.32,0.483978537,0.557031779,45,67,4,31.69,0.22
1525190400,4472998.819,-4.079469499,-1.905065961,100,20,5,32.215,0.22
1525276800,827837.3187,-6.749483426,4.975426603,20,80,5,31.965,0.33
1525363200,-1419609.681,-0.994365047,-11.80865056,50,134,12,31.655,0.42
1525622400,-541753.1812,4.145576835,-31.0739961,28,110,7,31.235,-0.55
1525708800,-2854374.181,2.95424992,-41.47421519,59,25,3,31.31,-0.04
1525795200,-6925213.181,0.257072282,-50.85008706,50,50,5,31.645,-0.15
1525881600,-9052172.681,-2.101007076,-59.32325968,125,150,9,31.755,0.04
1525968000,-8275286.181,-6.456950511,-57.4703632,70,127,6,31.82,0.21
1526227200,-7003590.181,-11.92342204,-47.26029614,72,24,4,31.68,0.04
1526313600,-7545497.681,-16.51432555,-35.64589441,54,60,5,31.54,-0.12
1526400000,-8274507.681,-20.88720914,-18.60195057,68,46,4,31.585,0.18
1526486400,-6569111.681,-26.91528621,15.0223431,78,112,8,31.55,-0.06
1526572800,-5165022.681,-30.29036101,52.27854776,100,165,11,31.485,-0.04
1526832000,-4074542.181,-24.35006165,69.01280859,17,0,2,31.545,-0.08
1526918400,-989286.1813,-14.10648086,73.27118031,42,100,7,31.615,-0.41
1527004800,-4212993.681,-6.510242828,71.60330847,52,164,8,31.89,0.23
1527091200,-7431675.681,-0.400280486,68.58709565,23,223,8,31.99,0.02
1527177600,-7939768.181,3.587264735,70.85976326,50,350,9,31.85,-0.02
1527523200,-7497079.681,6.868500432,74.31826422,17,17,1,31.85,-0.04
1527609600,-3700005.681,11.74176067,75.11894107,90,70,6,31.88,0.35
1527696000,-4129384.181,14.36824044,74.68447554,67,50,5,31.705,0.01
1527782400,-6699603.181,22.84064419,49.05859809,100,75,6,31.505,0.07
1528041600,-7678406.181,31.94685257,10.25132346,59,25,3,31.46,0.13
1528128000,-7925062.181,31.46548442,-11.32279256,150,23,6,31.345,0.1
1528214400,-5418533.181,30.11997551,-31.29555913,150,0,6,31.215,0.06
1528300800,-6982648.681,21.50288913,-35.44297723,167,50,6,31.125,0.1
1528387200,-8511347.181,8.372879811,-18.46784323,120,10,6,31.035,0.07
1528646400,-6984027.181,2.236183959,-7.255034502,92,42,5,30.94,0.16
1528732800,-4353857.681,2.608222722,-9.39722908,65,58,5,30.81,-0.35
1528819200,-148995.6812,3.618807822,-12.30243743,134,75,11,30.915,0.06
1528905600,-3487509.681,3.872504399,-23.93097973,150,34,6,31.22,0.03
