mse,mape,smape
0.33737263083457947,43.245819211006165,55.21385073661804
0.0015134147834032774,3.9691004902124405,3.861726075410843
0.0061997463926672935,9.400127828121185,8.924298733472824
0.00028805562760680914,3.4861065447330475,3.404340147972107
0.00020767793466802686,4.172446206212044,4.1258204728364944
0.00015242731024045497,2.5612421333789825,2.597770467400551
0.00016600549861323088,6.080536171793938,5.866393074393272
0.005373265594244003,43.16577613353729,55.082666873931885
0.0020832237787544727,35.179921984672546,43.07774305343628
0.003419170156121254,180.71939945220947,200.0
