,val_loss,val_mape,val_smape,val_mean_squared_error,loss,mape,smape,mean_squared_error
994,71.47230265357278,9.809470906402126,4.586850209669634,71.47230265357278,112.13848125751201,11.834012016883264,5.507266484774076,112.13848125751201
995,57.681309978167214,8.673747257752852,4.086350916009961,57.681309978167214,106.0806898850661,11.470319366455078,5.352914399367112,106.0806898850661
996,59.66922081961776,8.8378686615915,4.15916975700494,59.66922081961776,105.64573270357572,11.402834584162786,5.322831359276405,105.64573270357572
997,66.53434470205596,9.308668114922263,4.359433708768902,66.53434470205596,102.05779747596154,11.205684896615836,5.238839927086463,102.05779747596154
998,62.984846570275046,8.981064579703592,4.212608528859688,62.984846570275046,107.12162123460035,11.393569095318133,5.313131288381723,107.12162123460035
999,64.44159538818128,9.12291203845631,4.2757449872566,64.44159538818128,99.0371359018179,11.146615395179161,5.222799286475548,99.0371359018179
1000,70.40960889874083,9.639707478609951,4.505202752171141,70.40960889874083,101.76221078725962,10.92214132455679,5.096838943774884,101.76221078725962
1001,70.5813975912152,9.700972817160867,4.535596609115601,70.5813975912152,98.03849229079026,10.950758361816407,5.135694122314453,98.03849229079026
1002,67.79572280248006,9.457140200065844,4.427432027730075,67.79572280248006,98.52550565279446,10.802286001352163,5.042252892714281,98.52550565279446
1003,64.24062476013646,9.087830637440536,4.259670290079984,64.24062476013646,92.61659733698919,10.617857668950007,4.9848443618187535,92.61659733698919
1004,63.24042262453021,9.011485410459114,4.2264446200746475,63.24042262453021,94.05282663198618,10.604052587655874,4.968652285062349,94.05282663198618
1005,66.6496353149414,9.282622070023507,4.345071944323453,66.6496353149414,87.3822013268104,10.293265533447265,4.843827834496131,87.3822013268104
1006,64.24441506645896,9.078400879195243,4.254731048237193,64.24441506645896,101.98705115685097,10.865106201171875,5.059151884225699,101.98705115685097
1007,61.74092494357716,8.968849059307214,4.213056759400801,61.74092494357716,89.33315312312199,10.445075401893028,4.911951387845553,89.33315312312199
1008,61.5401187954527,8.904687975392196,4.181596127423373,61.5401187954527,86.8147456242488,10.300373781644382,4.848346512134259,86.8147456242488
1009,64.94992285063772,9.18089398470792,4.301963437687267,64.94992285063772,94.86869530310997,10.762415137657753,5.041344415224516,94.86869530310997
1010,65.79825410698399,9.224359223336885,4.3189661502838135,65.79825410698399,97.08016216571514,10.611724442702073,4.960377531785231,97.08016216571514
