mse,mape,smape
0.8046039938926697,118.24787902832031,200.0
0.006956545170396566,16.545419692993164,16.758058547973633
0.014683911576867104,164.34085083007812,88.90504455566406
0.0427347756922245,241.5841064453125,109.0714111328125
0.04766334220767021,205.52606201171875,101.12736511230469
0.0006762018892914057,10.153874397277832,10.934136390686035
0.0011267029913142323,20.10514259338379,18.07160758972168
0.0002474196080584079,13.040122032165527,14.104551315307617
0.0022884991485625505,34.034339904785156,28.991186141967773
3.3988482755376026e-05,3.8870513439178467,3.82472825050354
