mse,mape,smape
0.3837433457374573,81.19181060791016,138.0581512451172
0.006721742916852236,31.587785720825195,27.163454055786133
0.10758280009031296,192.69081115722656,98.09830474853516
0.012103616259992123,81.77371978759766,57.8768424987793
0.0004982594400644302,10.052736282348633,10.8660249710083
0.01091765332967043,113.88429260253906,72.3244857788086
0.0034751943312585354,26.899858474731445,31.281829833984375
0.000682588666677475,18.042329788208008,19.896991729736328
0.00020362099166959524,11.175985336303711,11.897977828979492
6.439456774387509e-05,7.838820457458496,8.165594100952148
